ticker,company name,short name,industry,exchange,market cap,sector
DNB,Dun & Bradstreet Corporation (The),Dun & Bradstreet (The),Business Services,New York Stock Exchange,5382173673,Industrials
DNI,Dividend and Income Fund,Dividend and Income Fund,Asset Management,New York Stock Exchange,136727430,Financial Services
DNOW,NOW Inc.,NOW,Oil & Gas - Services,New York Stock Exchange,1498375083,Energy
DNP,DNP Select Income Fund Inc.,DNP Select Income Fund,Asset Management,New York Stock Exchange,3170212248,Financial Services
DNR,Denbury Resources Inc.,Denbury Resources,Oil & Gas - E&P,New York Stock Exchange,957745791,Energy
DO,Diamond Offshore Drilling Inc.,Diamond Offshore Drilling,Oil & Gas - Drilling,New York Stock Exchange,1531022580,Energy
DOC,Physicians Realty Trust of Beneficial Interest,Physicians Realty Trust of Beneficial Interest,REITs,New York Stock Exchange,3316436889,Real Estate
DOOR,Masonite International Corporation (Canada),Masonite International (Canada),Building Materials,New York Stock Exchange,1479847136,Basic Materials
DOV,Dover Corporation,Dover,Industrial Products,New York Stock Exchange,12773379113,Industrials
DPG,Duff & Phelps Global Utility Income Fund Inc.,Duff & Phelps Global Utility Income Fund,Asset Management,New York Stock Exchange,538603245,Financial Services
DPLO,Diplomat Pharmacy Inc.,Diplomat Pharmacy,Drug Manufacturers,New York Stock Exchange,1064243134,Healthcare
DPZ,Domino's Pizza Inc,Domino's Pizza,Restaurants,New York Stock Exchange,11691009119,Consumer Cyclical
DQ,DAQO New Energy Corp. American Depositary Shares each representing five,DAQO New Energy American Depositary Shares each representing five,Semiconductors,New York Stock Exchange,441357355,Technology
DRD,DRDGOLD Limited American Depositary Shares,DRDGOLD Limited American Depositary Shares,Metals & Mining,New York Stock Exchange,158089556,Basic Materials
DRE,Duke Realty Corporation,Duke Realty,REITs,New York Stock Exchange,10713747249,Real Estate
DRH,Diamondrock Hospitality Company,Diamondrock Hospitality Company,REITs,New York Stock Exchange,2129109443,Real Estate
DRI,Darden Restaurants Inc.,Darden Restaurants,Restaurants,New York Stock Exchange,13236467782,Consumer Cyclical
DRQ,Dril-Quip Inc.,Dril-Quip,Oil & Gas - Services,New York Stock Exchange,1345582034,Energy
DS,Drive Shack Inc.,Drive Shack,Travel & Leisure,New York Stock Exchange,304973323,Consumer Cyclical
DSE,Duff & Phelps Select MLP and Midstream Energy Fund Inc.,Duff & Phelps Select MLP and Midstream Energy Fund,Asset Management,New York Stock Exchange,133401810,Financial Services
DSL,DoubleLine Income Solutions Fund of Beneficial Interests,DoubleLine Income Solutions Fund of Beneficial Interests,Asset Management,New York Stock Exchange,1981389392,Financial Services
DSM,Dreyfus Strategic Municipal Bond Fund Inc.,Dreyfus Strategic Municipal Bond Fund,Asset Management,New York Stock Exchange,366815080,Financial Services
DSU,Blackrock Debt Strategies Fund Inc.,Blackrock Debt Strategies Fund,Asset Management,New York Stock Exchange,554487690,Financial Services
DSW,DSW Inc.,DSW,Retail - Apparel & Specialty,New York Stock Exchange,2144523591,Consumer Cyclical
DSX,Diana Shipping inc.,Diana Shipping,Transportation & Logistics,New York Stock Exchange,312330697,Industrials
DTE,DTE Energy Company,DTE Energy Company,Utilities - Regulated,New York Stock Exchange,21356178567,Utilities
DTF,DTF Tax-Free Income Inc.,DTF Tax-Free Income,Asset Management,New York Stock Exchange,111024526,Financial Services
DUC,Duff & Phelps Utility & Corporate Bond Trust Inc.,Duff & Phelps Utility & Corporate Bond Trust,Asset Management,New York Stock Exchange,230405444,Financial Services
DUK,Duke Energy Corporation (Holding Company),Duke Energy (Holding Company),Utilities - Regulated,New York Stock Exchange,62604907144,Utilities
DVA,DaVita Inc.,DaVita,Health Care Providers,New York Stock Exchange,9395600000,Healthcare
DVD,Dover Motorsports Inc.,Dover Motorsports,Travel & Leisure,New York Stock Exchange,73304194,Consumer Cyclical
DVN,Devon Energy Corporation,Devon Energy,Oil & Gas - E&P,New York Stock Exchange,12716312000,Energy
DWDP,DowDuPont Inc.,DowDuPont,Chemicals,New York Stock Exchange,1.20551E+11,Basic Materials
DX,Dynex Capital Inc.,Dynex Capital,REITs,New York Stock Exchange,388838579,Real Estate
DXC,DXC Technology Company,DXC Technology Company,Application Software,New York Stock Exchange,18140158096,Technology
DY,Dycom Industries Inc.,Dycom Industries,Engineering & Construction,New York Stock Exchange,1838370390,Industrials
E,ENI S.p.A.,ENI S.p.A.,Oil & Gas - Integrated,New York Stock Exchange,61817492463,Energy
EAF,GrafTech International Ltd.,GrafTech International,Industrial Products,New York Stock Exchange,3855434111,Industrials
EARN,Ellington Residential Mortgage REIT of Beneficial Interest,Ellington Residential Mortgage REIT of Beneficial Interest,REITs,New York Stock Exchange,148543880,Real Estate
EAT,Brinker International Inc.,Brinker International,Restaurants,New York Stock Exchange,1688364000,Consumer Cyclical
EB,Eventbrite Inc. Class A,Eventbrite,Application Software,New York Stock Exchange,2461837776,Technology
EBF,Ennis Inc.,Ennis,Industrial Products,New York Stock Exchange,522488580,Industrials
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one),Centrais Electricas Brasileiras S American Depositary Shares (Each representing one),Utilities - Regulated,New York Stock Exchange,13756285980,Utilities
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share),Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share),Utilities - Regulated,New York Stock Exchange,14635497965,Utilities
EBS,Emergent Biosolutions Inc.,Emergent Biosolutions,Biotechnology,New York Stock Exchange,3230935452,Healthcare
EC,Ecopetrol S.A. American Depositary Shares,Ecopetrol S.A. American Depositary Shares,Oil & Gas - Integrated,New York Stock Exchange,38814159778,Energy
ECA,Encana Corporation,Encana,Oil & Gas - E&P,New York Stock Exchange,6676439069,Energy
ECC,Eagle Point Credit Company Inc.,Eagle Point Credit Company,Asset Management,New York Stock Exchange,363639392,Financial Services
ECL,Ecolab Inc.,Ecolab,Chemicals,New York Stock Exchange,45982812417,Basic Materials
ECOM,ChannelAdvisor Corporation,ChannelAdvisor,Application Software,New York Stock Exchange,298796223,Technology
ECR,Eclipse Resources Corporation,Eclipse Resources,Oil & Gas - E&P,New York Stock Exchange,338840251,Energy
ECT,ECA Marcellus Trust I of Beneficial Interest,ECA Marcellus Trust I of Beneficial Interest,Oil & Gas - Integrated,New York Stock Exchange,32569250,Energy
ED,Consolidated Edison Inc.,Consolidated Edison,Utilities - Regulated,New York Stock Exchange,24161225434,Utilities
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc.,Morgan Stanley Emerging Markets Domestic Debt Fund,Asset Management,New York Stock Exchange,451063607,Financial Services
EDF,Stone Harbor Emerging Markets Income Fund of Beneficial Interest,Stone Harbor Emerging Markets Income Fund of Beneficial Interest,Asset Management,New York Stock Exchange,210054310,Financial Services
EDI,Stone Harbor Emerging Markets Total Income Fund of Beneficial Interests,Stone Harbor Emerging Markets Total Income Fund of Beneficial Interests,Asset Management,New York Stock Exchange,123300556,Financial Services
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Utilities - Regulated,New York Stock Exchange,1284722243,Utilities
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 (Cayman Islands),New Oriental Education & Technology Sponsored representing 1 (Cayman Islands),Education,New York Stock Exchange,12157385889,Consumer Defensive
